PN;T0;M;X1;X2;X3;V1;V2;V3;XR;V;Error
P 1;  0.0000000E+00;  1.9890000E+30; -7.0000000E+10;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00; -1.7800000E+01;  0.0000000E+00;  7.0000000E+10;  1.7800000E+01;  0.0000000E+00
P 2;  0.0000000E+00;  1.9890000E+30;  7.0000000E+10;  0.0000000E+00;  0.0000000E+00;  0.0000000E+00;  1.7800000E+01;  0.0000000E+00;  7.0000000E+10;  1.7800000E+01;  0.0000000E+00
P 1;  0.0000000E+00;  1.9890000E+30; -5.5174073E+10; -8.2534282E+01;  0.0000000E+00;  5.0896999E+09; -1.4530878E+01;  0.0000000E+00;  5.5174073E+10;  5.0896999E+09;  0.0000000E+00
P 2;  0.0000000E+00;  1.9890000E+30;  5.5174073E+10;  8.2534282E+01;  0.0000000E+00; -5.0896999E+09;  1.4530878E+01;  0.0000000E+00;  5.5174073E+10;  5.0896999E+09;  0.0000000E+00
P 1;  5.0000000E+00;  1.9890000E+30; -4.2071910E+09; -7.6394294E+01;  0.0000000E+00;  1.6009558E+10;  3.2461261E+01;  0.0000000E+00;  4.2071910E+09;  1.6009558E+10;  0.0000000E+00
P 2;  5.0000000E+00;  1.9890000E+30;  4.2071910E+09;  7.6394294E+01;  0.0000000E+00; -1.6009558E+10; -3.2461261E+01;  0.0000000E+00;  4.2071910E+09;  1.6009558E+10;  0.0000000E+00
P 1;  1.0000000E+01;  1.9890000E+30;  8.0854017E+10;  6.1960017E+02;  0.0000000E+00;  1.3777115E+10;  1.1175328E+02;  0.0000000E+00;  8.0854017E+10;  1.3777115E+10;  0.0000000E+00
P 2;  1.0000000E+01;  1.9890000E+30; -8.0854017E+10; -6.1960017E+02;  0.0000000E+00; -1.3777115E+10; -1.1175328E+02;  0.0000000E+00;  8.0854017E+10;  1.3777115E+10;  0.0000000E+00
P 1;  1.5000000E+01;  1.9890000E+30;  1.3959263E+11;  1.0998247E+03;  0.0000000E+00;  1.0637879E+10;  8.7364261E+01;  0.0000000E+00;  1.3959263E+11;  1.0637879E+10;  0.0000000E+00
P 2;  1.5000000E+01;  1.9890000E+30; -1.3959263E+11; -1.0998247E+03;  0.0000000E+00; -1.0637879E+10; -8.7364261E+01;  0.0000000E+00;  1.3959263E+11;  1.0637879E+10;  0.0000000E+00
P 1;  2.0000000E+01;  1.9890000E+30;  1.8631868E+11;  1.4855172E+03;  0.0000000E+00;  8.5674326E+09;  7.0959409E+01;  0.0000000E+00;  1.8631868E+11;  8.5674326E+09;  0.0000000E+00
P 2;  2.0000000E+01;  1.9890000E+30; -1.8631868E+11; -1.4855172E+03;  0.0000000E+00; -8.5674326E+09; -7.0959409E+01;  0.0000000E+00;  1.8631868E+11;  8.5674326E+09;  0.0000000E+00
P 1;  2.5000000E+01;  1.9890000E+30;  2.2413429E+11;  1.8001806E+03;  0.0000000E+00;  6.9357858E+09;  5.7905773E+01;  0.0000000E+00;  2.2413429E+11;  6.9357858E+09;  0.0000000E+00
